Stock,End_Date
RELIANCE.NS,2022-05-19
TCS.NS,2022-05-19
HDFCBANK.NS,2022-05-19
INFY.NS,2022-05-19
HINDUNILVR.NS,2022-05-19
ICICIBANK.NS,2022-05-19
HDFC.NS,2022-05-19
BAJFINANCE.NS,2022-05-19
SBIN.NS,2022-05-19
WIPRO.NS,2022-05-19
BHARTIARTL.NS,2022-05-19
HCLTECH.NS,2022-05-19
KOTAKBANK.NS,2022-05-19
ASIANPAINT.NS,2022-05-19
DMART.NS,2022-05-19
ITC.NS,2022-05-19
LT.NS,2022-05-19
BAJAJFINSV.NS,2022-05-19
MARUTI.NS,2022-05-19
TITAN.NS,2022-05-19
ULTRACEMCO.NS,2022-05-20
AXISBANK.NS,2022-05-20
ADANIGREEN.NS,2022-05-20
SUNPHARMA.NS,2022-05-20
ADANITRANS.NS,2022-05-20
ATGL.NS,2022-05-20
ADANIENT.NS,2022-05-20
ONGC.NS,2022-05-20
TECHM.NS,2022-05-20
TATAMOTORS.NS,2022-05-20
JSWSTEEL.NS,2022-05-20
ADANIPORTS.NS,2022-05-20
POWERGRID.NS,2022-05-20
TATASTEEL.NS,2022-05-20
HINDZINC.NS,2022-05-20
HDFCLIFE.NS,2022-05-20
LTI.NS,2022-05-20
VEDL.NS,2022-05-20
PIDILITIND.NS,2022-05-20
DIVISLAB.NS,2022-05-20
