Stock,Date,Open,Close,High,Low,Volume,Open to Close
RELIANCE.NS,2022-05-26,2624.39990234375,2587.10009765625,2634.89990234375,2548,8252551,37.2998046875
TCS.NS,2022-05-26,3191,3226.949951171875,3241.5,3180.550048828125,2813186,-35.949951171875
HDFCBANK.NS,2022-05-26,1342.1500244140625,1366.699951171875,1371,1340,13496214,-24.5499267578125
INFY.NS,2022-05-26,1418,1423.949951171875,1430,1407.050048828125,13040065,-5.949951171875
HINDUNILVR.NS,2022-05-26,2290.14990234375,2280.199951171875,2296,2258,2299127,9.949951171875
ICICIBANK.NS,2022-05-26,723,728.5,733,715.4500122070312,14028733,-5.5
HDFC.NS,2022-05-26,2242,2287.75,2301.64990234375,2242,5940524,-45.75
BAJFINANCE.NS,2022-05-26,5850,5817.7998046875,5875.4501953125,5653.39990234375,1259546,32.2001953125
SBIN.NS,2022-05-26,456.8500061035156,468.8999938964844,470.1000061035156,452.5,17055257,-12.04998779296875
WIPRO.NS,2022-05-26,446,453.3500061035156,454.70001220703125,444,5791541,-7.350006103515625
BHARTIARTL.NS,2022-05-26,690,693.6500244140625,695.5,675.9000244140625,5780597,-3.6500244140625
HCLTECH.NS,2022-05-26,977,980.7000122070312,986,969.0499877929688,4278059,-3.70001220703125
KOTAKBANK.NS,2022-05-26,1914.949951171875,1908.6500244140625,1922,1884.050048828125,4949829,6.2999267578125
ASIANPAINT.NS,2022-05-26,2850,2840.14990234375,2860,2718.550048828125,3212196,9.85009765625
DMART.NS,2022-05-26,3586.449951171875,3577.449951171875,3635.699951171875,3465.300048828125,279250,9.0
ITC.NS,2022-05-26,268.25,266.70001220703125,268.25,263.8500061035156,18420159.0,1.54998779296875
LT.NS,2022-05-26,1575,1564.550048828125,1588.9000244140625,1536.6500244140625,3578710,10.449951171875
BAJAJFINSV.NS,2022-05-26,12450,12477.75,12585,12062.25,379204,-27.75
MARUTI.NS,2022-05-26,7800,7805,7839.9501953125,7620,476799,-5
TITAN.NS,2022-05-26,2132,2141.949951171875,2150.85009765625,2075.5,1382368,-9.949951171875
ULTRACEMCO.NS,2022-05-26,5821,5874.25,5917,5706.75,512954,-53.25
AXISBANK.NS,2022-05-26,672.9500122070312,683.25,685.25,668,10114633,-10.29998779296875
ADANIGREEN.NS,2022-05-26,2212,2164,2229.89990234375,2035,1651419,48
SUNPHARMA.NS,2022-05-26,918.7999877929688,899.9500122070312,922.4500122070312,893.5,4113170,18.8499755859375
ADANITRANS.NS,2022-05-26,2100,2148.10009765625,2192.300048828125,1983.5999755859375,332786,-48.10009765625
ATGL.NS,2022-05-26,2230,2391.35009765625,2438.60009765625,2145,365372,-161.35009765625
ADANIENT.NS,2022-05-26,2077,2046.4000244140625,2088,1906.199951171875,4967514,30.5999755859375
ONGC.NS,2022-05-26,152.8000030517578,151.89999389648438,153.3000030517578,148.10000610351562,12824105,0.9000091552734375
TECHM.NS,2022-05-26,1070,1078.5999755859375,1089.5,1055.949951171875,2946857,-8.5999755859375
TATAMOTORS.NS,2022-05-26,422,420.6499938964844,422.6499938964844,405,17712299,1.350006103515625
JSWSTEEL.NS,2022-05-26,530.5,551.7000122070312,555.7000122070312,520.0499877929688,8178844,-21.20001220703125
ADANIPORTS.NS,2022-05-26,712,701.5,719.2999877929688,668.1500244140625,13569693,10.5
POWERGRID.NS,2022-05-26,227,227.1999969482422,229.10000610351562,223.89999389648438,10612841,-0.1999969482421875
TATASTEEL.NS,2022-05-26,1007,1052,1067.550048828125,995.25,15053673,-45
HINDZINC.NS,2022-05-26,309.5,299.20001220703125,315,295.1000061035156,1752641,10.29998779296875
HDFCLIFE.NS,2022-05-26,568.0999755859375,578.0499877929688,581,563.1500244140625,3444955,-9.95001220703125
LTI.NS,2022-05-26,3850,3874.25,3901.949951171875,3733.300048828125,480870,-24.25
VEDL.NS,2022-05-26,306.79998779296875,313.04998779296875,314.29998779296875,294,11117630,-6.25
PIDILITIND.NS,2022-05-26,2142.39990234375,2133.10009765625,2158.699951171875,2106,393960,9.2998046875
DIVISLAB.NS,2022-05-26,3550,3448.699951171875,3567.85009765625,3365.550048828125,2436609,101.300048828125
