Week ID,Week Start Date,Week End Date,Days,Profit,Loss,Volume
1,1995-12-25,1995-12-29,5,0,5,0.0
2,1996-01-01,1996-01-05,5,1,4,338931.0
3,1996-01-08,1996-01-12,5,4,1,397377.0
4,1996-01-15,1996-01-19,5,2,3,351976.0
5,1996-01-22,1996-01-26,5,2,3,670819.0
6,1996-01-29,1996-02-02,5,4,1,1011318.0
7,1996-02-05,1996-02-09,5,4,1,1407132.0
8,1996-02-12,1996-02-16,5,2,3,540881.0
9,1996-02-19,1996-02-23,5,3,2,580020.0
10,1996-02-26,1996-03-01,5,2,3,1061937.0
11,1996-03-04,1996-03-08,5,1,4,293009.0
12,1996-03-11,1996-03-15,5,2,3,435210.0
13,1996-03-18,1996-03-22,5,3,2,596980.0
14,1996-03-25,1996-03-29,5,4,1,2080042.0
15,1996-04-01,1996-04-05,5,1,4,756401.0
16,1996-04-08,1996-04-12,5,3,2,673168.0
17,1996-04-15,1996-04-19,5,3,2,2163014.0
18,1996-04-22,1996-04-26,5,3,2,1413133.0
19,1996-04-29,1996-05-03,5,2,3,919476.0
20,1996-05-06,1996-05-10,5,2,3,747009.0
21,1996-05-13,1996-05-17,5,3,2,2530648.0
22,1996-05-20,1996-05-24,5,2,3,1498975.0
23,1996-05-27,1996-05-31,5,3,2,3622592.0
24,1996-06-03,1996-06-07,5,5,0,5217327.0
25,1996-06-10,1996-06-14,5,4,1,8686503.0
26,1996-06-17,1996-06-21,5,2,3,4103726.0
27,1996-06-24,1996-06-28,5,2,3,1376343.0
28,1996-07-01,1996-07-05,5,3,2,3335581.0
29,1996-07-08,1996-07-12,5,4,1,1575946.0
30,1996-07-15,1996-07-19,5,3,2,2281210.0
31,1996-07-22,1996-07-26,5,1,4,1691012.0
32,1996-07-29,1996-08-02,5,2,3,3347846.0
33,1996-08-05,1996-08-09,5,3,2,1656048.0
34,1996-08-12,1996-08-16,5,0,5,1256844.0
35,1996-08-19,1996-08-23,5,4,1,1853824.0
36,1996-08-26,1996-08-30,5,4,1,1787290.0
37,1996-09-02,1996-09-06,5,2,3,2612837.0
38,1996-09-09,1996-09-13,5,0,5,5636623.0
39,1996-09-16,1996-09-20,5,3,2,5575569.0
40,1996-09-23,1996-09-27,5,2,3,2643886.0
41,1996-09-30,1996-10-04,5,1,4,3388810.0
42,1996-10-07,1996-10-11,5,4,1,9007692.0
43,1996-10-14,1996-10-18,5,3,2,6126629.0
44,1996-10-21,1996-10-25,5,3,2,3903863.0
45,1996-10-28,1996-11-01,5,1,4,4870044.0
46,1996-11-04,1996-11-08,5,2,3,6900253.0
47,1996-11-11,1996-11-15,5,3,2,7590904.0
48,1996-11-18,1996-11-22,5,0,5,18500697.0
49,1996-11-25,1996-11-29,5,1,4,22957447.0
50,1996-12-02,1996-12-06,5,4,1,42980867.0
51,1996-12-09,1996-12-13,5,2,3,57417759.0
52,1996-12-16,1996-12-20,5,4,1,90013024.0
53,1996-12-23,1996-12-27,5,1,4,24346581.0
54,1996-12-30,1997-01-03,5,2,3,39334009.0
55,1997-01-06,1997-01-10,5,2,3,37682654.0
56,1997-01-13,1997-01-17,5,2,3,40996842.0
57,1997-01-20,1997-01-24,5,1,4,30672554.0
58,1997-01-27,1997-01-31,5,0,5,40687915.0
59,1997-02-03,1997-02-07,5,3,2,23145308.0
60,1997-02-10,1997-02-14,5,4,1,17287946.0
61,1997-02-17,1997-02-21,5,2,3,17213324.0
62,1997-02-24,1997-02-28,5,3,2,19020969.0
63,1997-03-03,1997-03-07,5,2,3,30380324.0
64,1997-03-10,1997-03-14,5,2,3,24780225.0
65,1997-03-17,1997-03-21,5,1,4,10506409.0
66,1997-03-24,1997-03-28,5,1,4,5223329.0
67,1997-03-31,1997-04-04,5,3,2,5981558.0
68,1997-04-07,1997-04-11,5,3,2,9449950.0
69,1997-04-14,1997-04-18,5,1,4,3109106.0
70,1997-04-21,1997-04-25,5,4,1,19875477.0
71,1997-04-28,1997-05-02,5,1,4,15202425.0
72,1997-05-05,1997-05-09,5,1,4,12487042.0
73,1997-05-12,1997-05-16,5,4,1,45881761.0
74,1997-05-19,1997-05-23,5,2,3,47403440.0
75,1997-05-26,1997-05-30,5,2,3,90760295.0
76,1997-06-02,1997-06-06,5,3,2,75997516.0
77,1997-06-09,1997-06-13,5,4,1,102001713.0
78,1997-06-16,1997-06-20,5,3,2,127258640.0
79,1997-06-23,1997-06-27,5,1,4,85426595.0
80,1997-06-30,1997-07-04,5,1,4,52014133.0
81,1997-07-07,1997-07-11,5,1,4,75900454.0
82,1997-07-14,1997-07-18,5,0,5,51077696.0
83,1997-07-21,1997-07-25,5,3,2,63111524.0
84,1997-07-28,1997-08-01,5,4,1,48741170.0
85,1997-08-04,1997-08-08,5,1,4,36831015.0
86,1997-08-11,1997-08-15,5,2,3,28381426.0
87,1997-08-18,1997-08-22,5,2,3,34245832.0
88,1997-08-25,1997-08-29,5,1,4,33113707.0
89,1997-09-01,1997-09-05,5,4,1,27121187.0
90,1997-09-08,1997-09-12,5,4,1,19319458.0
91,1997-09-15,1997-09-19,5,2,3,18338144.0
92,1997-09-22,1997-09-26,5,2,3,24068441.0
93,1997-09-29,1997-10-03,5,2,3,11330653.0
94,1997-10-06,1997-10-10,5,2,3,7888092.0
95,1997-10-13,1997-10-17,5,4,1,20925152.0
96,1997-10-20,1997-10-24,5,3,2,22172344.0
97,1997-10-27,1997-10-31,5,0,5,22900569.0
98,1997-11-03,1997-11-07,5,4,1,25114723.0
99,1997-11-10,1997-11-14,5,2,3,20677542.0
100,1997-11-17,1997-11-21,5,3,2,29476240.0
101,1997-11-24,1997-11-28,5,2,3,24217424.0
102,1997-12-01,1997-12-05,5,1,4,28307324.0
103,1997-12-08,1997-12-12,5,3,2,26161789.0
