,Error
0,-6.0323486328125
1,9.422409057617188
2,-8.850479125976562
3,-12.201202392578125
4,7.6009979248046875
5,-10.12860107421875
6,2.6680755615234375
7,0.8440399169921875
8,7.61065673828125
9,-14.142532348632812
10,7.2975616455078125
11,12.345321655273438
12,-22.011184692382812
13,24.932662963867188
14,-13.887374877929688
15,7.2737884521484375
16,-2.8805389404296875
17,5.7982330322265625
18,1.1444244384765625
19,-12.182159423828125
20,2.1815948486328125
21,-9.136199951171875
22,6.6244049072265625
23,-11.898529052734375
24,2.1110076904296875
25,3.99169921875
26,-5.096160888671875
27,0.2862701416015625
28,-12.77569580078125
29,1.7057342529296875
30,-3.3811492919921875
31,-1.8669586181640625
32,-2.9428558349609375
33,-10.859756469726562
34,0.0097198486328125
35,-8.628219604492188
36,-4.267791748046875
37,-0.1905059814453125
38,2.492767333984375
39,-11.06298828125
40,-0.7351837158203125
41,-7.24755859375
42,-2.5224609375
43,0.2000579833984375
44,-12.34124755859375
45,-4.4645538330078125
46,0.656463623046875
47,-9.46282958984375
48,-5.4909820556640625
49,-5.952972412109375
50,-5.1549835205078125
51,-5.493804931640625
52,-6.5217132568359375
53,-0.07037353515625
54,-2.946533203125
55,-5.7699737548828125
56,-6.6416473388671875
57,-5.1941070556640625
58,-2.41302490234375
59,-6.5535736083984375
60,-1.598175048828125
61,-5.05291748046875
62,-2.22418212890625
63,-4.8721923828125
64,-3.409576416015625
65,-5.7859344482421875
66,-2.86724853515625
67,-5.9968414306640625
68,-3.73809814453125
69,-1.4150390625
70,-8.741485595703125
71,-3.9373931884765625
72,-5.1964111328125
73,-10.630889892578125
74,8.063186645507812
75,-8.865982055664062
76,-4.4893035888671875
77,-8.4796142578125
78,-3.2277679443359375
79,-6.0895843505859375
80,-2.535614013671875
81,-10.378631591796875
82,-4.4261627197265625
83,-0.673797607421875
84,-8.623077392578125
85,-0.0086212158203125
86,-8.315902709960938
87,-8.769760131835938
88,-4.5554351806640625
89,-6.292236328125
90,-9.18634033203125
91,-1.8142547607421875
92,-11.376998901367188
93,-5.615203857421875
94,-5.23516845703125
95,0.34619140625
96,-9.5301513671875
97,-4.3695220947265625
98,-1.6028594970703125
99,-5.4071197509765625
100,-13.764572143554688
101,0.7520294189453125
102,-9.851669311523438
103,5.198699951171875
104,-7.942138671875
105,-7.1284942626953125
106,-2.1065826416015625
107,-7.1221771240234375
108,-3.293212890625
109,-5.7550201416015625
110,-15.496551513671875
111,2.266845703125
112,-6.6754150390625
113,-8.301681518554688
114,-0.44110107421875
115,-2.622344970703125
116,-1.1743316650390625
117,-11.812149047851562
118,-1.217926025390625
119,-5.0350799560546875
120,-5.3442840576171875
121,-5.3633880615234375
122,-2.566650390625
123,-10.3973388671875
124,-1.400634765625
125,-6.6666717529296875
126,-7.2297210693359375
127,-8.886093139648438
128,-9.119537353515625
129,-6.2807769775390625
130,-2.238525390625
131,-9.602203369140625
132,-9.705718994140625
133,9.3780517578125
134,-9.638168334960938
135,6.6281585693359375
136,-18.389007568359375
137,6.4941253662109375
138,-6.21630859375
139,-4.7788848876953125
140,-7.180267333984375
141,0.7227783203125
142,-3.8187408447265625
143,-2.0608062744140625
144,-6.9185028076171875
145,-7.48046875
146,4.8448486328125
147,-8.778060913085938
148,-6.4977264404296875
149,-3.799713134765625
150,-0.9433746337890625
151,-7.5874786376953125
152,-4.670654296875
153,2.843505859375
154,-10.408920288085938
155,2.6728668212890625
156,-9.766555786132812
157,-2.4725799560546875
158,-9.271926879882812
159,-7.7391815185546875
160,-4.573394775390625
161,-3.0157318115234375
162,-5.2042083740234375
163,-5.9037628173828125
164,0.02972412109375
165,-7.77154541015625
166,-4.3331756591796875
167,-5.037933349609375
168,-6.0239105224609375
169,1.6712188720703125
170,-10.685470581054688
171,7.4936370849609375
172,-11.28802490234375
173,-0.0054473876953125
174,-5.136749267578125
175,-7.416534423828125
176,-12.37213134765625
177,-7.8187103271484375
178,-3.4607696533203125
179,-0.4186553955078125
180,-0.4402008056640625
181,-13.297637939453125
182,-0.946868896484375
183,-6.5379486083984375
184,-4.287506103515625
185,-1.74432373046875
186,-2.36480712890625
187,-6.998687744140625
188,-1.6975555419921875
189,-5.0537567138671875
190,-7.882415771484375
191,-3.05560302734375
192,-6.218475341796875
193,-2.9639434814453125
194,-7.6022491455078125
195,-3.048187255859375
196,-4.29840087890625
197,-5.156768798828125
198,-4.5155792236328125
199,-6.3575592041015625
200,0.3025665283203125
201,-5.0880584716796875
202,-7.186248779296875
203,-4.2628631591796875
204,-4.151763916015625
205,-9.670791625976562
206,-2.9327392578125
207,-4.5925140380859375
208,-9.323287963867188
209,-5.0567626953125
210,-2.3477325439453125
211,-8.35791015625
212,-6.6642303466796875
213,-4.0508575439453125
214,-3.5267333984375
215,-7.180023193359375
216,-0.236328125
217,-7.657073974609375
218,1.2237701416015625
219,-13.444198608398438
220,-2.974273681640625
221,-3.058349609375
222,-3.1803741455078125
223,-7.38580322265625
224,-0.8678436279296875
225,-5.910858154296875
226,-8.02362060546875
227,-10.97235107421875
228,-2.59906005859375
229,-6.5677947998046875
230,-8.6072998046875
231,-7.354766845703125
232,-5.7490692138671875
233,-12.163482666015625
234,3.05718994140625
235,-18.084548950195312
236,-2.0235748291015625
237,-11.764358520507812
238,-3.9851531982421875
239,-8.751358032226562
240,-7.3171844482421875
241,-8.969467163085938
242,-6.0861663818359375
