,Error
0,6.865547180175781
1,8.097816467285156
2,2.1800994873046875
3,2.033843994140625
4,2.5173110961914062
5,6.109062194824219
6,5.592613220214844
7,22.16370391845703
8,27.538558959960938
9,18.745391845703125
10,20.082618713378906
11,16.978839874267578
12,8.826309204101562
13,12.461639404296875
14,0.34279632568359375
15,12.33382797241211
16,10.24554443359375
17,10.886039733886719
18,6.9420318603515625
19,6.868309020996094
20,7.359821319580078
21,2.2922897338867188
22,4.947883605957031
23,1.126495361328125
24,-1.5676193237304688
25,-1.8886184692382812
26,-3.7255935668945312
27,0.04798126220703125
28,2.164276123046875
29,1.814483642578125
30,1.726043701171875
31,4.371551513671875
32,9.314117431640625
33,12.735610961914062
34,9.592018127441406
35,8.006095886230469
36,6.1634521484375
37,5.049308776855469
38,3.6402053833007812
39,-5.555641174316406
40,-1.07537841796875
41,-1.4490280151367188
42,-0.6646652221679688
43,4.329917907714844
44,4.7289886474609375
45,3.715240478515625
46,4.268745422363281
47,2.100372314453125
48,4.1894073486328125
49,4.319602966308594
50,7.524604797363281
51,2.965576171875
52,1.8035125732421875
53,3.042816162109375
54,4.200721740722656
55,3.68756103515625
56,2.8604888916015625
57,2.0658111572265625
58,-1.98577880859375
59,-1.865020751953125
60,-1.071441650390625
61,-1.5485076904296875
62,0.9929885864257812
63,-0.14305877685546875
64,-3.415802001953125
65,-1.3067779541015625
66,1.7645111083984375
67,3.784637451171875
68,6.6791229248046875
69,5.642326354980469
70,4.816375732421875
71,3.5953750610351562
72,3.8031768798828125
73,1.5498733520507812
74,2.62750244140625
75,2.097137451171875
76,5.038612365722656
77,6.315040588378906
78,3.3845977783203125
79,4.690513610839844
80,5.33441162109375
81,5.808189392089844
82,3.85772705078125
83,2.9899368286132812
84,1.5696563720703125
85,3.6485595703125
86,4.256690979003906
87,5.560981750488281
88,6.783210754394531
89,5.780731201171875
90,6.554573059082031
91,6.991668701171875
92,6.36175537109375
93,1.504852294921875
94,1.484039306640625
95,-0.19554901123046875
96,0.36338043212890625
97,1.2888336181640625
98,3.7117462158203125
99,4.3121337890625
100,4.92791748046875
101,4.9707489013671875
102,6.277824401855469
103,4.963691711425781
104,6.890724182128906
105,6.050666809082031
106,4.730232238769531
107,3.3605880737304688
108,2.6021270751953125
109,2.421173095703125
110,3.3910751342773438
111,4.042366027832031
112,3.6550216674804688
113,5.1151275634765625
114,2.7977752685546875
115,1.4427490234375
116,2.7979812622070312
117,0.4788360595703125
118,2.1065292358398438
119,2.4620513916015625
120,3.4705657958984375
121,2.7453689575195312
122,4.002998352050781
123,3.8385772705078125
124,1.9569625854492188
125,4.73565673828125
126,3.7946090698242188
127,4.88482666015625
128,5.754753112792969
129,6.854103088378906
130,8.196403503417969
131,9.154876708984375
132,7.173637390136719
133,6.5332794189453125
134,5.658424377441406
135,5.198089599609375
136,5.678123474121094
137,5.550239562988281
138,4.25506591796875
139,7.293975830078125
140,8.712318420410156
141,10.0126953125
142,10.408042907714844
143,6.891838073730469
144,3.1151885986328125
145,5.6601104736328125
146,5.5841522216796875
147,5.833534240722656
148,5.8498382568359375
149,5.584724426269531
150,4.344001770019531
151,6.345985412597656
152,4.4583282470703125
153,5.7095947265625
154,5.7457122802734375
155,7.7373504638671875
156,8.50927734375
157,6.882362365722656
158,4.4041748046875
159,6.084320068359375
160,5.614692687988281
161,4.648193359375
162,4.599586486816406
163,5.610565185546875
164,7.0305938720703125
165,7.482078552246094
166,9.2030029296875
167,8.215362548828125
168,6.9600067138671875
169,6.0167999267578125
170,5.625556945800781
171,4.514686584472656
172,4.219627380371094
173,4.0943603515625
174,2.1276702880859375
175,0.9934616088867188
176,2.4069290161132812
177,2.560577392578125
178,2.6326522827148438
179,4.498504638671875
180,4.1961517333984375
181,4.129669189453125
182,4.702583312988281
183,-0.1659393310546875
184,0.678955078125
185,-3.3499832153320312
186,-1.5331268310546875
187,1.6007614135742188
188,-0.29352569580078125
189,-2.7541656494140625
190,-5.49615478515625
191,-4.930625915527344
192,-4.905479431152344
193,-1.441741943359375
194,-0.10829925537109375
195,0.45904541015625
196,-4.2095947265625
197,-7.7792205810546875
198,-4.1152801513671875
199,-4.169578552246094
200,-0.1669158935546875
201,3.7152175903320312
202,12.528045654296875
203,8.9049072265625
204,5.600776672363281
205,1.4269561767578125
206,0.571624755859375
207,1.9283370971679688
208,2.5365753173828125
209,2.9815216064453125
210,3.0748977661132812
211,-0.7517776489257812
212,1.8329849243164062
213,0.37457275390625
214,0.02704620361328125
215,-1.9992446899414062
216,-2.6978988647460938
217,-1.9567718505859375
218,-2.0673599243164062
219,-0.3059844970703125
220,4.4076080322265625
221,8.591339111328125
222,4.929039001464844
223,2.2820663452148438
224,5.5669097900390625
225,6.874748229980469
226,7.075408935546875
227,7.22711181640625
228,4.705619812011719
229,6.10845947265625
230,2.86767578125
231,0.5450439453125
232,0.59332275390625
233,-3.02447509765625
234,-1.4993133544921875
235,-1.9589462280273438
236,-1.7106170654296875
237,0.7636032104492188
238,2.0313873291015625
239,4.529991149902344
240,2.3087921142578125
241,-3.6924514770507812
242,-1.1013336181640625
243,-8.167770385742188
244,0.5418548583984375
245,1.1920852661132812
246,-4.183265686035156
247,-4.0429229736328125
248,-6.957481384277344
249,4.574409484863281
250,-1.093109130859375
251,3.0156097412109375
252,2.1057281494140625
253,2.89630126953125
254,0.1276397705078125
255,-2.8382568359375
256,0.612945556640625
257,4.332511901855469
258,3.1600494384765625
259,3.101531982421875
260,1.6889801025390625
261,7.412239074707031
262,5.025665283203125
263,3.0065841674804688
264,3.06768798828125
265,5.317352294921875
266,6.770393371582031
267,7.850151062011719
268,5.283538818359375
269,2.2658157348632812
270,3.6404953002929688
271,1.4110031127929688
272,2.465423583984375
273,2.1756973266601562
274,1.4483718872070312
275,2.75592041015625
276,2.4126358032226562
277,7.9528961181640625
278,2.2642440795898438
279,-1.6014022827148438
280,-3.1444625854492188
281,2.9741592407226562
282,3.8338470458984375
283,2.96905517578125
284,3.0720062255859375
285,2.2353057861328125
286,1.3034286499023438
287,0.8241348266601562
288,1.0431365966796875
289,-3.0021896362304688
290,-0.5872955322265625
291,-1.1542892456054688
292,-1.220001220703125
293,1.05438232421875
294,0.27500152587890625
295,-1.581451416015625
296,-4.619728088378906
297,0.9426651000976562
298,4.219520568847656
299,2.1746826171875
300,-0.337249755859375
301,1.357177734375
302,4.930488586425781
303,3.047210693359375
304,1.9088668823242188
305,0.16773223876953125
306,2.2684097290039062
307,4.025215148925781
308,2.8075332641601562
309,1.049407958984375
310,-2.6763687133789062
311,-0.8770828247070312
312,-3.9055328369140625
313,-3.872161865234375
314,-0.32552337646484375
315,1.9126205444335938
316,2.7892684936523438
317,2.1971588134765625
318,2.0177536010742188
319,0.46646881103515625
320,0.543914794921875
321,0.09203338623046875
322,2.8370437622070312
323,7.392913818359375
324,4.210456848144531
325,1.3286895751953125
326,0.09658050537109375
327,2.6844329833984375
328,4.0826416015625
329,1.8393936157226562
330,4.6628875732421875
331,5.460235595703125
332,2.6039886474609375
333,2.5300979614257812
334,-0.11298370361328125
335,0.35958099365234375
336,3.0884475708007812
337,5.9285888671875
338,3.3442611694335938
339,1.6199874877929688
340,-0.1468353271484375
341,0.4704437255859375
342,5.3024444580078125
343,4.387977600097656
344,5.024421691894531
345,5.396240234375
346,0.8728561401367188
347,1.21539306640625
348,2.5553970336914062
349,2.4986801147460938
350,2.5426559448242188
351,1.9682235717773438
352,1.4352569580078125
353,-0.23162841796875
354,0.03722381591796875
355,1.5994644165039062
356,2.5205154418945312
357,2.4909820556640625
358,3.639373779296875
359,3.0197906494140625
360,0.16699981689453125
361,1.5098648071289062
362,2.0188522338867188
363,2.7744827270507812
364,4.069190979003906
365,3.9153976440429688
366,5.7049102783203125
367,2.8233413696289062
368,0.5405807495117188
369,-1.4674301147460938
370,0.3220672607421875
371,0.642791748046875
372,-2.21575927734375
373,-0.8735198974609375
374,1.5959091186523438
375,3.1482162475585938
376,-1.8579940795898438
377,0.7361602783203125
378,3.2943267822265625
379,3.82598876953125
380,-0.4478302001953125
381,-0.7321548461914062
382,-0.16342926025390625
383,-3.3500747680664062
384,-0.9289169311523438
385,2.2400436401367188
386,1.6494903564453125
387,-4.9994964599609375
388,-0.221435546875
389,-2.2902679443359375
390,2.0275726318359375
391,-1.4969482421875
392,-1.916839599609375
393,-1.7699737548828125
394,1.220184326171875
395,0.492767333984375
396,-0.026153564453125
397,-14.675033569335938
398,-7.5969390869140625
399,9.584014892578125
400,4.37310791015625
401,-3.0638885498046875
402,2.11297607421875
403,6.547607421875
404,3.997589111328125
405,-1.01373291015625
406,5.1891937255859375
407,7.1287384033203125
408,2.8714141845703125
409,0.569854736328125
410,-1.866851806640625
411,0.2427825927734375
412,8.012313842773438
413,11.781402587890625
414,5.4775848388671875
415,-1.304595947265625
416,2.2873687744140625
417,4.2607269287109375
418,3.1411590576171875
419,-0.3656768798828125
420,0.1008148193359375
421,1.272552490234375
422,6.4970855712890625
423,2.383087158203125
424,-1.3059844970703125
425,2.1519317626953125
426,2.580657958984375
427,5.230621337890625
428,10.6229248046875
429,3.976715087890625
430,-4.668548583984375
431,-1.1817169189453125
432,10.195510864257812
433,7.9211273193359375
434,4.993988037109375
435,2.8406524658203125
436,0.9189910888671875
437,0.32965087890625
438,4.7969970703125
439,0.8336944580078125
440,-0.999755859375
441,2.6218109130859375
442,2.747222900390625
443,3.7810821533203125
444,1.8211822509765625
445,4.79803466796875
446,1.72674560546875
447,7.6723785400390625
448,9.760360717773438
449,2.486724853515625
450,0.918121337890625
451,-1.8049468994140625
452,3.112640380859375
453,4.307861328125
454,0.9556427001953125
455,2.0668792724609375
456,0.7864227294921875
457,-0.1249847412109375
458,0.8096466064453125
459,-2.678741455078125
460,-2.087188720703125
461,0.763336181640625
462,-4.2432403564453125
463,-1.4031982421875
464,-0.8590087890625
465,-2.5538787841796875
466,1.950042724609375
467,5.1817474365234375
468,-2.4756317138671875
469,2.63311767578125
470,-3.6279754638671875
471,4.0708465576171875
472,6.2826995849609375
473,0.5555877685546875
474,1.992156982421875
475,2.2076263427734375
476,-0.861083984375
477,-1.6293182373046875
478,4.176513671875
479,2.388031005859375
480,6.1842498779296875
481,1.0491485595703125
482,-0.34320068359375
483,7.745819091796875
484,6.4150238037109375
485,-2.51885986328125
486,2.5763702392578125
487,5.080322265625
488,5.20458984375
489,-1.7069091796875
490,-1.46270751953125
491,6.3378753662109375
492,7.8575286865234375
493,1.288360595703125
494,6.2513275146484375
495,7.695159912109375
496,0.5287017822265625
497,0.6323089599609375
498,0.13275146484375
499,-4.861053466796875
500,6.10931396484375
